t,z_spreads,z_equities,z_liquidity,z_goldcurrency,z_roro
14dec2023,-3.7871954,-.78735322,-.044386115,-2.6484718,-2.6431682
15dec2023,.15205368,.045038458,-.57852054,1.0301154,.15755624
18dec2023,.076627083,.20516796,-.11228226,.0091864876,.26443082
19dec2023,-.35690063,-.42635715,.44956189,-.97625434,-.5794341
20dec2023,.83948958,.30203223,.088081099,.44413859,.49203593
21dec2023,.084334061,.05086875,.062340699,-.87381858,.04413268
22dec2023,.21122932,-.19985935,-.37527454,-.41148418,-.13171364
27dec2023,-.23000681,-.52821952,.063228875,-1.6921926,-.70533431
28dec2023,-.34106818,.066424146,-.54523253,.50144917,-.023248592
29dec2023,-.32042742,.10091931,.686845,.16720045,.041363034
01jan2024,.40199214,.013000365,.00069424999,.024666505,.21570791
02jan2024,.84364396,.56259829,-.568537,1.3722429,1.0474111
03jan2024,2.7206361,.83746368,-.29502526,1.1509064,1.9780387
04jan2024,-.49535638,-.4289774,-.045927536,-.27285016,-.62717885
05jan2024,.23476876,-.11822399,.046600036,-.17375305,.045900319
08jan2024,-.32084444,-.40586638,-.27172938,.36760461,-.53081876
09jan2024,-.96784037,.062095728,.095047183,.42026776,-.18174881
10jan2024,-2.1627383,-.25392839,.28922969,.16439946,-1.0411822
11jan2024,.60965711,.25221014,-.1334666,.29702622,.54561269
12jan2024,.64380229,-.40075895,.31241357,-.9508757,-.18006624
15jan2024,-.26895878,.30966985,.00069424999,-.17945173,.17820559
16jan2024,.88603383,.46748209,-.84519929,1.8979174,.9179877
17jan2024,-.046950959,.8705951,-.025252607,1.1508311,.96495771
18jan2024,-.67799377,-.51318687,.61637938,-.57727313,-.7127322
19jan2024,-1.0673398,-.42986387,-.1791447,-.36293432,-.77663851
22jan2024,-.32084593,-.45805648,-.065238826,.059380356,-.5660072
23jan2024,.45826763,.033524584,.5345276,.45139471,.34987241
24jan2024,-.79332703,-.47738731,-.18452634,-.30818921,-.89056015
25jan2024,.31790233,-.013921529,.12668125,.36287257,.24713995
26jan2024,-.96013051,-.37857288,-.049919888,-.20380914,-.77341622
29jan2024,.73945105,-.055033527,-.26820049,-.091767825,.23851627
30jan2024,-.47952387,-.14490555,-.18842605,-.38680118,-.33777457
31jan2024,2.4942369,.45840001,.12939163,-.43223843,1.3610712
01feb2024,.44148189,-.030816434,-.97226071,-.44676289,.080493763
02feb2024,-2.0358429,-.30631757,-.089680634,1.5912842,-.8646816
05feb2024,-.3329446,.17893536,.82746977,1.1226358,.26128182
06feb2024,.67600536,-.39133221,.25755191,-.64598131,-.10070276
07feb2024,-.16987498,-.13461326,-.27259958,-.16245115,-.25304595
08feb2024,-.63808411,-.031845301,-.30709806,.1623456,-.28504092
09feb2024,-.73758781,-.059301641,.026403463,.30796996,-.29081634
12feb2024,-.13008454,.06731654,.021497613,.049121369,.0011878771
13feb2024,-.61508286,.88892931,-.59453058,1.7634124,.72734016
14feb2024,.48566198,-.55400157,.95226204,-.079386681,-.2114176
15feb2024,-.22905162,-.53516221,-.021535821,-.73200542,-.71372861
16feb2024,-1.114957,-.30262718,-.35452145,-.30978459,-.70675427
19feb2024,.040572383,.033175442,.00069424999,-.075723901,.046934992
20feb2024,.83509994,.17974569,.2729767,-.46835604,.44916657
21feb2024,-.78134805,.140977,-.18018851,-.0072952351,-.15633571
22feb2024,-1.869993,-1.0054775,-.10502497,.078677244,-1.598543
23feb2024,.10016652,-.28054574,-.096368939,-.41715968,-.19166608
26feb2024,.31168491,.083594821,.21140531,.074267484,.1736224
27feb2024,.47314686,-.13947362,.37476707,.0019506286,.10760909
28feb2024,.85478586,.33553433,.11575907,.20304529,.69919795
29feb2024,.048279364,-.1375896,-.3081069,-.046332791,-.059915226
